"id_droits_agent","id_agent","code_service","libelle_service","date_modification","version","id_service_ads"
"4590","9004504","DFEG","SMS Equipes des Ateliers","2015-03-13T14:09:03.512","6","NULL"
"4591","9004403","DFEG","SMS Equipes des Ateliers","2015-03-13T14:09:03.512","6","NULL"
"4592","9004178","DFEG","SMS Equipes des Ateliers","2015-03-13T14:09:03.512","6","NULL"
"4593","9003200","DFEG","SMS Equipes des Ateliers","2015-03-13T14:09:03.512","6","NULL"
"4594","9002260","DFEG","SMS Equipes des Ateliers","2015-03-13T14:09:03.512","6","NULL"
"4595","9004131","DFEG","SMS Equipes des Ateliers","2015-03-13T14:09:03.512","6","NULL"
"4596","9004645","DFEG","SMS Equipes des Ateliers","2015-03-13T14:09:03.512","6","NULL"
"4597","9004474","DFEG","SMS Equipes des Ateliers","2015-03-13T14:09:03.512","6","NULL"
"4598","9004491","DFEG","SMS Equipes des Ateliers","2015-03-13T14:09:03.512","6","NULL"
"4599","9003339","DFEG","SMS Equipes des Ateliers","2015-03-13T14:09:03.512","6","NULL"
"4600","9003869","DFEG","SMS Equipes des Ateliers","2015-03-13T14:09:03.512","6","NULL"
"5335","9003770","DFAB","DJCS Pôle Administratif et Budgétaire","2015-06-05T13:15:31.690","2","NULL"
